,Latitude,Longitude,ErroRadial
n,419878.0,419878.0,419878.0
mean,2.542600231495815,0.10212252130380718,4.615832950253308
median,2.11,-0.1,3.2066493416025392
std,5.414513181506534,6.71782354229012,7.7211010832983344
var,29.316952992708007,45.12915314534737,59.615401938510715
mad,2.9077837126438713,2.2701687219251223,2.9754000532118003
iqr,4.19,2.44,3.6004456298618672
min,-87.88,-124.37,0.25
q1,0.51,-1.21,1.971851921418036
q3,4.7,1.23,5.572297551279903
max,78.2,134.16,152.59159740955593
range,166.07999999999998,258.53,152.34159740955593
mae,3.5503198071820865,2.261079646945065,4.615832950253308
mse,35.781699107359756,45.139474673119324,80.92117378047908
rmse,5.981780596725339,6.718591717995619,8.99561969963599
